Unnamed: 0,name,price
305,Xiaomi 14T Pro,12.990.000đ
306,Xiaomi 15T Pro,16.490.000đ
307,iPhone 15 Pro Max,28.490.000đ
308,iPhone 15 Pro,23.990.000đ
309,iPhone 14 Pro Max,27.990.000đ
310,iPhone Air,34.990.000đ
311,iPhone 14 Pro,22.990.000đ
312,iPhone 15 Plus,21.290.000đ
313,iPhone 16,22.390.000đ
314,OPPO Reno12 F,7.120.000đ
315,Xiaomi 14T,11.290.000đ
316,Redmi Note 13 Pro,6.990.000đ
317,HONOR X9c,7.290.000đ
318,Nubia Neo 3,5.090.000đ
319,Samsung Galaxy M55,6.990.000đ
320,Xiaomi 13 Pro -,24.490.000đ
321,Xiaomi Redmi Note 13 Pro,4.690.000đ
322,HONOR Win RT,
323,Xiaomi Redmi Note 13 Pro,6.290.000đ
324,OPPO Reno14 F,10.100.000đ
325,realme GT Neo 3,
326,Xiaomi Redmi Note 13,3.790.000đ
327,iPhone 16 Pro,35.990.000đ
328,Samsung Galaxy A55,7.590.000đ
329,iPhone 12,7.990.000đ
330,Samsung Galaxy A06,2.590.000đ
331,iPhone 14 Pro,24.990.000đ
332,Samsung Galaxy S24 Ultra,23.990.000đ
333,iPhone 12 mini I,12.990.000đ
334,Samsung Galaxy S24 FE,11.490.000đ
335,iPhone 11,8.490.000đ
336,OPPO Find N3 Flip,13.990.000đ
337,Xiaomi Redmi Note 13 Pro Plus,6.490.000đ
338,Tecno Pova 7,4.890.000đ
339,vivo iQOO Z9 Turbo,
340,Xiaomi POCO X6 Pro,7.540.000đ
341,OPPO Find N,
342,Itel RS4,3.390.000đ
343,Samsung Galaxy A15,4.290.000đ
344,Samsung Galaxy M55,7.990.000đ
345,OPPO Reno13 F,8.990.000đ
346,Xiaomi Redmi Note 12S,4.990.000đ
347,Samsung Galaxy A16,3.390.000đ
348,Xiaomi Redmi Note 12,3.790.000đ
349,TECNO POVA 6 NEO,3.890.000đ
350,HONOR 600 Pro,
351,Redmi K50 Gaming Edition,
352,Samsung Galaxy A25,4.690.000đ
353,Redmi Turbo 5 Max,
354,Samsung Galaxy S24 Plus,18.990.000đ
355,Xiaomi Redmi 14C,2.850.000đ
356,Samsung Galaxy S23 ĐKH Online,13.790.000đ
357,OPPO A5i,3.690.000đ
358,Xiaomi Redmi 13C,2.990.000đ
359,realme C33 -,1.850.000đ
