Chipset,Antutu_11,Clock,GPU
Dimensity 8050,1028453,3000 MHz,Mali-G77 MP9
Dimensity 8020,969978,2600 MHz,Mali-G77 MP9
Snapdragon 865,964589,2840 MHz,Adreno 650
Snapdragon 6 Gen 4,963651,2300 MHz,Adreno 810
Dimensity 7200 Ultra,960142,2800 MHz,-
Kirin 9000S,1062256,2620 MHz,Maleoon 910
Dimensity 7200,971424,2800 MHz,-
Dimensity 1300,954090,3000 MHz,Mali-G77 MP9
Dimensity 1100,972810,2600 MHz,Mali-G77 MP9
Dimensity 1200,980006,3000 MHz,Mali-G77 MP9
Exynos 990,901199,2730 MHz,Mali-G77 MP11
Dimensity 7400,929183,2600 MHz,Mali-G615 MP2
Snapdragon 6 Gen 3,833548,2400 MHz,Adreno 710
Snapdragon 7 Gen 1,829085,2400 MHz,Adreno 644
Snapdragon 778G Plus,800145,2500 MHz,Adreno 642
Dimensity 1000 Plus,708890,2600 MHz,Mali-G77 MP9
Kirin 990 (5G),887876,2860 MHz,Mali-G76 MP16
Snapdragon 855 Plus,859084,2960 MHz,Adreno 640
Dimensity 7360,922560,2500 MHz,Mali-G615 MP2
Snapdragon 6s Gen 4,831969,2400 MHz,Adreno 710
Dimensity 7300,877329,2500 MHz,Mali-G615 MP2
Snapdragon 7s Gen 2,794701,2400 MHz,Adreno 710
Snapdragon 782G,806420,2700 MHz,Adreno 642
Snapdragon 778G,780000,2400 MHz,Adreno 642
Snapdragon 780G,782789,2400 MHz,Adreno 642
Snapdragon 860,813344,2960 MHz,Adreno 640
Snapdragon 855,820253,2840 MHz,Adreno 640
Kirin 8000,829838,2400 MHz,-
Dimensity 7030,737693,2500 MHz,Mali-G610 MP3
Dimensity 1080,722902,2600 MHz,Mali-G68 MP4
Exynos 9825,798922,2730 MHz,Mali-G76 MP12
A11 Bionic,626912,2390 MHz,Apple A11 GPU
Dimensity 7100,768176,2400 MHz,Mali-G610 MP2
Snapdragon 6 Gen 1,733620,2200 MHz,Adreno 710
Dimensity 7050,802497,2600 MHz,Mali-G68 MP4
Exynos 1380,765609,2400 MHz,Mali-G68 MP5
Dimensity 920,750481,2500 MHz,Mali-G68 MP4
Snapdragon 4 Gen 4,600942,2300 MHz,Adreno 613
Dimensity 7060,679213,2600 MHz,IMG BXM-8-256
Dimensity 1050,668004,2500 MHz,-
Dimensity 930,593307,2200 MHz,IMG BXM-8-256
Dimensity 900,671241,2400 MHz,Mali-G68 MP4
Exynos 9820,744321,2730 MHz,Mali-G76 MP12
Kirin 980,739763,2600 MHz,Mali-G76 MP10
Snapdragon 4 Gen 5,652054,2400 MHz,-
Kirin 8000A,682743,2200 MHz,-
Snapdragon 6s Gen 3,623235,2300 MHz,Adreno 619
