name;price;display_size;display_tech;back_cam;front_cam;CPU;RAM;storage_cap;battery;resolution;screen_func;os;refresh_rate;GPU;waterproof;max_charging
xiaomi mi 10 ultra;0.0;6.66 inches;OLED capacitive touchscreen, 1B colors, Corning Gorilla Glass 5, HDR10+, 120Hz refresh rate, 800 nits;"48 MP, f/1.9, 25mm (wide), 1/1.32"", 1.2µm, PDAF, OIS 48 MP, f/4.1, 120mm (periscope telephoto), 1/2.0"", 0.8µm, PDAF, OIS, 5x optical zoom, 120x hybrid zoom 12 MP, f/2.0, 50mm (telephoto), 1/2.55"", 1.4µm, Dual Pixel PDAF, 2x optical zoom 20";"20 MP, f/2.3, (wide), 1/3.4"", 0.8µm";Qualcomm SM8250 Snapdragon 865 (7 nm+);12 GB;256 GB;Li-Ion 4500 mAh battery Fast charging 120W Fast wireless charging 50W Reverse wireless charging 10W;1080 x 2340 pixels (FullHD+);;Android 11;;;;
vivo iqoo 10 pro;0.0;6.78 inches;AMOLED;Camera góc rộng: 50 MP, f/1.9, PDAF  Camera tele: 14.6 MP, f/2.2, zoom quang 3x  Camera góc siêu rộng: 50 MP, f / 2.3, 150˚;Camera góc rộng: 16 MP, f/2.5;Snapdragon 8+ Gen 1 (4 nm);8 GB;256 GB;Li-Po 4700 mAh;1440 x 3200 pixels (QHD+);1 tỉ màu, 120Hz, HDR10+, 500 nits (typ);Android 12;;;;
google pixel 9 pro xl;0.0;6.8 inches;LTPO OLED;Góc rộng 50 MP,ƒ/1.68 Góc siêu rộng 48 MP, f/1.7  với Lấy nét Macro Ống kính tele 48 MP, f/2.8,  5x;42 MP, ƒ/2.2;Google Tensor G4;16 GB;128 GB;5,060 mAh;;Tỷ lệ khung hình 20:9, 495 PPI, Kính bảo vệ Corning® Gorilla® Glass Victus® 2,  2,000 nits, Hỗ trợ HDR, 16 triệu màu, 1344 x 2992;Android 14;;;;
realme c75x;0.0;"6.67"" ";IPS LCD;5 MP;Chính 50 MP & Cảm biến Flicker;MediaTek Helio G81-Ultra 8 nhân;8 GB;128 GB;5600 mAh;HD+ (720 x 1604 Pixels);;Android 15;;Mali-G52;IP66, IP68, IP69;45 W
iqoo 11;0.0;6.78 inches;AMOLED;"Camera góc rộng: 50MP, f/1.9, 1 / 1.57 "", 1.0µm, PDAF, OIS  Camera tele: 12MP, f/2.0, 47 mm, 1 / 2.9"", PDAF, zoom quang 2x  Camera góc cực rộng";;;;;;;;;;;;
red magic 7s pro;0.0;6.8 inches;AMOLED;Camera góc rộng: 64 MP, f/1.8, PDAF  Camera góc siêu rộng: 8 MP, f / 2.2, 120˚  Camera Macro: 2 MP, f / 2.4;Camera góc rộng: 16 MP;Snapdragon 8+ thế hệ 1 (4 nm);12 GB;256 GB;5000 mAh;1080 x 2400 pixels (FullHD+);120Hz, Kính cường lực Corning Gorilla Glass 5;Android 12;;;;
samsung galaxy a75;0.0;6.4 inches;AMOLED;Camera chính 108 MP & Phụ 12 MP, 10 MP, 10 MP;32 MP;Snapdragon 888;6 GB;128 GB;6000 mAh;1080 x 2400 pixels (FullHD+);Tần số quét 90 Hz;;;;;
xiaomi poco f7;0.0;;;;;;;;;;;;;;;
vivo x90;0.0;6.78 inches;AMOLED;"Camera góc rộng: 50MP, f/1.8, 1/1.49"", 1.0µm, PDAF, Laser AF, OIS  Tele kính viễn vọng: 12MP, f/2.0, 50mm, 1/2.93"", 1.22µm, AF, 2x optical zoom  Camera góc siêu rộng: 12MP, f/2.0, 16mm, 1/2.93"", 1.22µm, AF";"Camera góc rộng: 32MP, f/2.5, 24mm, 1/2.8"", 0.8µm";Mediatek Dimensity 9200 (4 nm);8 GB;128 GB;4810 mAh;;AMOLED, 1 tỷ màu, 120Hz, HDR10+;Android 13;;;;
google pixel fold;0.0;7.6 inches;OLED;"Camera góc rộng: 48 MP, f/1.7, 25mm, Dual Pixel PDAF, Laser AF, OISCamera Tele: 10.8 MP, f/3.1, 1.22µm, OIS, 5x optical zoomCamera góc siêu rộng: 10.8 MP, f/2.2, 121˚, 1/3"", 1.25µm";"8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm Camera góc rộng: 9.5 MP, f/2.2, 24mm, 1.22µm, Dual Pixel PDAF";Google Tensor G2 (5 nm);12 GB;256 GB;4821 mAh;;Foldable OLED, tần số quét 120Hz, HDR10+, 1000 nits Màn hình phụ: 5.8 inches, 1080 x 2092 pixels, OLED, 120Hz, HDR, Corning Gorilla Glass Victus;Android 13;;;;
oppo reno9 pro;0.0;6.75 inches;OLED;Camera góc rộng: 50MP, f/1.9, PDAF, OIS  Camera góc siêu rộng: 64 MP, f/2.4  Camera tele: 64 MP, f/3.5, PDAF, OIS  Camera đơn săc: 64 MP,  f/1.8.;13 MP;Snapdragon 888+;12 GB;128 GB;4.600 mAh;1080 x 2408 pixels;tần số quét 120 Hz;;;;;
nubia red magic 10;0.0;;;;;;8 GB;256 GB;;1116 x 2480 pixels;;;;;;
honor x40;0.0;6.66 inches;AMOLED;Camera góc rộng: 50 MP, f/1.8, PDAF  Camera Macro: 2 MP, f/2.4;Camera góc rộng: 8 MP, f/2.0;Snapdragon 695 5G (6 nm);6 GB;128 GB;5100 mAh;1080 x 2400 pixels (FullHD+);1B màu, tần số quét 120Hz, 800 nit;Android 12;;;;
vivo iqoo 10;0.0;6.78 inches;AMOLED;"Camera góc rộng: 50 MP, f/1.9, 1 / 1.57 "", 1.0µm, PDAF, OIS  Camera tele: 12 MP, f/2.0, 47 mm, 1 / 2.9"", PDAF, zoom quang 2x  Camera góc cực rộng: 13 MP, f/2.2 , 16mm, 120˚";Camera góc rộng: 16 MP, f/2.5;Qualcomm SM8475 Snapdragon 8+ thế hệ 1 (4 nm);8 GB;128 GB;Li-Po 4700 mAh, không thể tháo rời;1080 x 2400 pixels (FullHD+);;Android 12;;;;
motorola edge plus;0.0;6.7 inches;OLED;"Camera góc rộng: 108 MP, f/1.8, 1/1.33"", 0.8µm, PDAF, OISCamera Tele: 8 MP, f/2.4, 81mm, 3x optical zoom, PDAF, OISCamera góc siêu rộng: 16 MP, f/2.2, 13mm, 1.0µm, AF";Camera góc rộng: 25 MP, f/2.0, 0.9µm;Snapdragon 865 5G (7 nm+);12 GB;256 GB;5000 mAh;1080 x 2340 pixels (FullHD+);1 tỷ màu, , 90Hz, HDR10+;Android 10;;;;
oppo a2m;0.0;6.56 inches;IPS LCD;Camera chính: 13MP, f/2.2;5MP,  f/2.2;MediaTek Dimensity 6020 8 nhân;12 GB;256 GB;5,000 mAh;;Tần số quét 90Hz, độ sáng 720 nits và có mật độ điểm ảnh 269 ppi;Android 13;;;;
samsung galaxy tab s10 fe;0.0;;;;;;;;;;;;;;;
oppo find n2;0.0;7.0 inches;AMOLED;Camera góc rộng: 50 MP, f/1.8, PDAF, OISCamera tele: 32 MP, f/2.0, 2x optical zoom, PDAF Camera góc siêu rộng: 48 MP, f/2.2,115˚;32 MP, f/2.4;Snapdragon 8+ Gen 1 (4 nm);12 GB;256 GB;4520 mAh;;Màn hình chính: Có thể gập, LTPO AMOLED, 120Hz, HDR10+, 1792 x 1920 pixels Màn hình phụ: 5.54 inche0s, AMOLED, 120Hz, Corning Gorilla Glass Victus, 1080 x 2120 pixels, 18:9 ratio;Android 13, ColorOS 13;;;;
xiaomi redmi note 14 pro;0.0;6.67 inches;AMOLED;Chính 200 MP & Phụ 8 MP, 2 MP;20 MP;MediaTek Dimensity 7300-Ultra 8 nhân;8 GB;256 GB;5110 mAh;1220 x 2712 pixels;Tần số quét 120 HzĐộ sáng tối đa: 3000 nitsKính cường lực Corning Gorilla Glass Victus 2;Xiaomi HyperOS (Android 14);;Mali-G57 MC2;IP64;45 W
realme gt neo 6;0.0;6.71 inches;Super AMOLED;50 MP + 8 MP + 2 MP;16 MP;Snapdragon 8 Gen 2;12 GB;128 GB;5.000 mAh;;Tốc độ làm mới 120 Hz;;;;;
honor x8a;0.0;6.7 inches;IPS LCD;Camera góc rộng: 100.0 MP, f/1.9 Camera góc siêu rộng: 5.0 MP, ƒ/2.2 Camera Macro: 2.0 MP, ƒ/2.4;16 MP, ƒ/2.5;MediaTek Helio G88;8 GB;128 GB;4500 mAh;1080 x 2376 pixels (FullHD+);"Tần số quét 90 Hz, 	393 ppi,16.7 triệu màu";Android 12;;;;
samsung galaxy m16;0.0;6.5 inches;;48 MP & Phụ 5 MP, 2 MP, 2 MP;8 MP, f/2.0, (wide);Exynos 2100;6 GB;128 GB;7000 mAh;720 x 1600 pixel;Mặt kính cong 2.5D;Android 11;;;;
google pixel 5;0.0;6.0 inches;OLED;"Camera góc rộng: 12,2MP, f/1.7, 27mm, 1 / 2.55 "", 1.4µm, PDAF pixel kép, OIS  Camera góc siêu rộng:  16 MP, f/2.2, 117˚, 1.0µm";"Camera góc rộng: 8 MP, f/2.0, 24mm, 1 / 4.0 "", 1.12µm";Qualcomm SM7250 Snapdragon 765G 5G (7 nm);8 GB;128 GB;4080 mAh;1080 x 2340 pixels (FullHD+);Kính cường lực Corning Gorilla Glass 6  Màn hình luôn bật;Android 11;;;;
samsung galaxy a24;0.0;6.5 inches;Super AMOLED;"Camera góc rộng: 50MP, f/1.8, PDAF, OIS  Camera góc siêu rộng: 5MP, f/2.2, 123˚, 1/5"", 1.12µm  Camera macro: 2 MP, f/2.4";Camera góc rộng: 13 MP, f/2.0;Mediatek MT8781 Helio G99 (6nm);6 GB;128 GB;5000 mAh;1080 x 2340 pixels (FullHD+);Tần số quét 90Hz, 1000 nits;Android 13;;;;
vivo y56;0.0;6.58 inches;IPS LCD;"Camera góc rộng: 50MP, f/1.8, 1/2.76"", 0.64µm, PDAF  Camera đo dộ sâu: 2MP, f/2.4";Camera góc rộng: 16MP, f/2.0;Dimensity 700 (7 nm);8 GB;128 GB;5000 mAh;1080 x 2408 pixels;;Android 13;;;;
oppo find x8 ultra;0.0;;;;;;;;;;;;;;;
xiaomi mix alpha;0.0;7.9 inches;Super AMOLED;Chính 108 MP & Phụ 20 MP, 12 MP;;Snapdragon 855+ 8 nhân;12 GB;512 GB;4050 mAh;;Mặt kính cong 2.5D;Android 10;;;;
samsung galaxy a74;0.0;6.7 inches;Super AMOLED;108 MP + 24 MP + 8 MP + 8 MP;44 MP + 8 MP;Snapdragon 870 5G;12 GB;256 GB;5.000 mAh;;;;;;;
htc wildfire e3 lite;0.0;6.5 inches;;Camera chính: 13 MP Camera đo chiều sâu: 2 MP, f/2.2;5 MP, f/2.0;Unisoc SC9863;3 GB;32 GB;5000 mAh;720 x 1600 pixel;Tốc độ làm tươi 60 Hz;Android 12;;;;
vivo iqoo z9x;0.0;6.72 inches;LCD;Cảm biến chính 50MP Máy ảnh độ sâu 2MP;8MP;Snapdragon 6 Gen 1;8 GB;128 GB;6000 mAh;;Độ phân giải Full-HD+, độ sáng 1,000 nits, tần số quét 120Hz;Android 14;;;;
honor x9b;0.0;6.78 inches;AMOLED;Camera chính: 108.0 MP, ƒ/1.75Camera góc rộng: 5.0 MP, ƒ/2.2Camera góc siêu rộng: 2.0 MP, ƒ/2.4;16.0 MP, ƒ/2.45;Snapdragon 6 Gen 1;12 GB;256 GB;5800 mAh;2652 x 1200 pixels;1.07 tỷ màuTần số quét 120HzTỷ lệ khung hình 19:9:9;Android 13.0;;;;
honor magic v flip 2;0.0;6.82 inches;LTPO OLED;Camera chính: 200MP, f/1.9Camera góc rộng: 50MP;50MP;Snapdragon 8 Gen 3;16 GB;1 TB;5200 mAh;;2,868 x 1,232 pixel120Hz, 5,000 nits hiển thị rõ ràng cả ngoài trời;MagicOS 9.0.1 (Android 15);;;;
realme c75;0.0;"6.72"" - Tần số quét 90 Hz";IPS LCD;8 MP;Chính 50 MP & Cảm biến Flicker;MediaTek Helio G92 Max 8 nhân;8 GB;128 GB;6000 mAh;Full HD+ (1080 x 2400 Pixels);;Android 14;;Adreno 640;IP69;45 W
vivo s1;0.0;6.38 inches;Super AMOLED;"Camera góc rộng: 16 MP, f/1.8, 1/2.8"", 1.12µm, PDAFCamera góc siêu rộng:8 MP, f/2.2, 13mm, 1/4.0"", 1.12µmCamera đo độ sâu: 2 MP, f/2.4";"Camera góc rộng: 32 MP, f/2.0, 26mm, 1/2.8"", 0.8µm";Mediatek MT6768 Helio P65 (12nm);6 GB;64 GB;4500 mAh;1080 x 2340 pixels (FullHD+);Tốc độ làm mới 90 Hz;Android 9.0;;;;
oneplus ace 2 pro;0.0;6.74 inches;OLED;Camera chính 50 MP Camera góc siêu rộng 8MPCamera macro 2 MP;16MP;Snapdragon 8 Gen 2;16 GB;;5,000 mAh;;Tốc độ làm mới 120Hz;Android 13;;;;
vivo y01;0.0;6.51 inches;IPS LCD;8 MP;5 MP;;2 GB;32 GB;Li-Po 5000 mAh;720 x 1600 pixel;;Android 11 (Go Edition);;;;
vivo iqoo 9 pro;0.0;6.78 inches;AMOLED;"Camera góc rộng:  50 MP, f/1.8,  1 / 1.57 "", 1.0µm, PDAF, gimbal OIS  Camera tele :16 MP, f/2.2, 60mm , 1 / 3.1"", 1.0µm, PDAF, OIS, quang học 2,5x zoom Camera góc siêu rộng: 50 MP, f / 2.3, 15mm, 150˚, 1 / 2,76 "", 0,64µm, AF";"Camera góc rộng: 16 MP, f/2.5, 1 / 3.1 "", 1.0µm";Qualcomm SM8450 Snapdragon 8 thế hệ 1 (4 nm);8 GB;256 GB;Li-Po 4700 mAh, không thể tháo rời;3200 x 1440 pixel;;Android 12;;;;
realme gt3;0.0;6.74 inches;AMOLED;"Camera góc rộng: 50MP, f/1.9, 24mm, 1/1.56"", 1.0µm, PDAF, OIS  Camera góc siêu rộng: 8MP, f/2.2, 16mm, 112˚, 1/4.0"", 1.12µm  Microscope: 2 MP, f/3.3, 20mm";"Camera góc rộng: 16MP, f/2.5, 25mm, 1/3.09"", 1.0µm";Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm);8 GB;128 GB;4600 mAh;1240 x 2772 pixels;1 tỷ màu, tần số quét 144Hz, HDR10+, 1400 nits;Android 13;;;;
huawei nova 11i;0.0;6.8 inches;IPS LCD;Cảm biến chính: 48 MP, f/1.8 Camera phụ: 2 MP, f/2.4;16 MP, f/2.2;Snapdragon 680;8 GB;128 GB;5,000 mAh;1080 x 2388 pixels;Tần số quét 90Hz, 16,7 triệu màu;Android 12;;;;
oneplus open;0.0;6.3 inches;AMOLED;Camera chính 50 MPCamera góc siêu rộng 48 MPCamera tele 64 MP;32 MP;Snapdragon 8 Gen 2;16 GB;;4,805mAh;;Màn hình chính: 7.8 inch, độ phân giải 2K+Màn hình phụ:  6.3 inch, Full HD+Tốc độ làm mới 120Hz;Android 13;;;;
oppo a97;0.0;6.56 inches;IPS LCD;Camera góc rộng: 50 MP, f/1.8, PDAF  Camera góc sâu: 2 MP, f/2.4;Camera góc rộng: 8 MP, f/2.0;;8 GB;256 GB;Li-Po 5000 mAh, không thể tháo rời;1080 x 2412 pixels;90Hz;Android 12;;;;
itel a70;0.0;6.6 inches;;13MP;8MP;Unisoc T603 Octa-core;4 GB;128 GB;5,000 mAh;720 x 1612 (HD+);Tần số quét 120Hz, độ sáng tối đa 500nitsDynamic Bar;Android 13 Go;;;;
realme 10 pro plus;0.0;6.7 inches;Super AMOLED;Camera góc rộng:  108 MP, PDAF, OIS  Camera góc siêu rộng: 8MP  Camera góc sâu: 2MP, f/2.4;"Camera góc rộng: 16MP, f/2.4, 27mm, 1 / 3.09 "", 1.0µm";MediaTek Dimensity 1080 (6 nm);6 GB;64 GB;5.000 mAh;1080 x 2400 pixels (FullHD+);1B màu, Tần số quét 120Hz;Android 12;;;;
samsung a56;0.0;;;;;;12 GB;256 GB;;;;;;;;
vivo y66;0.0;5.5 inches;IPS LCD;13MP, f/2.2;16MP, f/2.0;;3 GB;32 GB;3000 mAh;720 x 1280 pixels;;Android 6.0;;;;
vivo x90 pro plus;0.0;6.78 inches;AMOLED;Camera góc rộng: 50.3MP, f/1.8, 23mm, 1.6µm, Dual Pixel PDAF, Laser AF, OIS  Tele kính tiềm vọng: 64MP, f/3.5, 90mm, 0.7µm, PDAF, OIS, 3.5x optical zoom  Camera chụp xa: 50MP, f/1.6, 50mm, 0,7µm, AF, zoom quang 2x, OIS 48 Camera góc siêu rộng:;"Camera góc rộng: 32MP, f/2.5, 24mm, 1/2.8"", 0.8µm";Snapdragon 8 thế hệ 2 (4nm);12 GB;256 GB;4700 mAh;1440 x 3200 pixels (QHD+);1 tỷ màu, 120Hz, Dolby Vision, HDR10+, 1800 nits;Android 13;;;;
vivo x note;0.0;7.0 inches;AMOLED;"50 MP, f/1.6, (Rộng), 1/1.31"", 1.2µm, PDAF, Laser AF, OIS 8 MP, f/3.4, 125mm, PDAF, OIS, 5x zoom quang học12 MP, f/2.0, 47mm (telephoto), 1/2.93"", 1.2µm, PDAF, 2x zoom quang học48 MP, f/2.2, 14mm, 114˚ (Siêu rộng), 1/2.0"", 0.8µm";16 MP, f/2.5, (Rộng);Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm);8 GB;256 GB;Li-Po 5000 mAh (Không thể tháo rời);1440 x 3080 pixels;LTPO AMOLED  120Hz  HDR10+;Android 12   Origin OS Ocean;;;;
honor 80 pro;0.0;;AMOLED;200 MP;;Snapdragon 8 Gen 1;12 GB;;;;;;;;;
samsung galaxy a57;0.0;6.7 inches;Super AMOLED;Camera chính: 50MPGóc siêu rộng 12MPMacro 5MP;12MP;Exynos 1680;8 GB;128 GB;~5000mAh;1080 x 2340 Pixels;Tần số quét: 120Hz16 triệu màu;Android 16;120;Xclipse 550;IP68;45 W
xiaomi redmi note 12t pro;0.0;6.6 inches;IPS LCD;"Camera góc rộng: 64 MP, f/1.8, 23mm, 1/2"", 0.7µm, PDAFCamera góc siêu rộng:  8 MP, 120˚Camera macro: 2 MP";16 MP;Mediatek Dimensity 8200 Ultra (4 nm);8 GB;128 GB;5080 mAh;1080x2460 pixels;Tốc độ làm mới 144 Hz, 1 tỷ màu, HDR10, Dolby Vision, 650 nits;Android 13;;;;
google pixel 3 xl;0.0;6.3 inches;OLED;"Camera góc rộng: 12,2MP, f/1.8, 28mm, 1 / 2.55 "", 1.4µm, PDAF pixel kép, OIS";Camera góc rộng: 8MP, f/1.8, 28 mm, PDAF Camera góc: 8 MP, f/2.2, 19 mm (siêu rộng), không có AF;Qualcomm SDM845 Snapdragon 845 (10 nm);4 GB;64 GB;3430 mAh;1440 x 2960 pixels (QHD+);Kính cường lực Corning Gorilla Glass 5  Màn hình luôn bật;Android 9.0;;;;
honor 200 lite;0.0;6.7 inches;AMOLED;Cảm biến chính 108MPMáy ảnh siêu rộng 8MP Cảm biến macro 2MP;50MP;MediaTek Dimensity 6080;8 GB;256 GB;4500 mAh;2412 x 1080 pixels;;Android 14;;;;
honor magic v2;0.0;;OLED;Camera chính 50 MP + góc siêu rộng 50 MP + tele 20 MP;16 MP;Snapdragon 8 Gen 2;16 GB;256 GB;5.000 mAh;;Màn hình chính: 7.92 inchMàn hình phụ rộng: 6.43 inch,  tần số quét 120 Hz.;Android 13;;;;
google pixel 3;0.0;5.5 inches;OLED;"Camera góc rộng: 12,2 MP, f/1.8, 28mm, 1 / 2.55 "", 1.4µm, PDAF pixel kép, OIS";Camera góc rộng: 8 MP, f/1.8, 28 mm, PDAF  Camera góc siêu rộng: 8 MP, f/2.2, 19 mm, không có AF;Qualcomm SDM845 Snapdragon 845 (10 nm);4 GB;64 GB;2915 mAh;1080 x 2160 pixels (FullHD+);Kính cường lực Corning Gorilla Glass 5  Màn hình luôn bật;Android 9.0 (Pie), có thể nâng cấp lên Android 12;;;;
zenfone 10;0.0;6.3 inches;AMOLED;200 MP hỗ trợ OIS;16 MP;Snapdragon 8 Gen 2;16 GB;256 GB;5.000 mAh;;Tốc độ làm mới 120 Hz;Android 13;;;;
oppo k10x;0.0;6.59 inches;IPS LCD;Camera góc rộng: 64 MP, f/1.8, PDAF  Camera góc siêu rộng: 2 MP, f/2.4  Camera Macro: 2 MP, f/2.4;Camera góc rộng: 16 MP, f/2.0;Snapdragon 695 5G (6 nm);6 GB;128 GB;5000 mAh;1080 x 2412 pixels;Tần số quét lên đến 144 Hz  kính cường lực Corning Gorilla 6;Android 12, ColorOS 12.1;;;;
samsung galaxy s24fe;0.0;6.7 inches;Dynamic AMOLED 2X;50.0 MP, f/1.8  + 12.0 MP, f/2.2 + 8.0 MP, f/2.4Zoom quang học 3x, chất lượng Zoom quang học 2x;10.0 MP, f/2.4;Exynos 2400e (4nm);8 GB;256 GB;4700 mAh;1080 x 2340 pixels (FullHD+);120Hz, 16 triệu màu, 1900 nitsKính cường lực Corning® Gorilla® Glass Victus®+;Android;;;;
huawei mate 50e;0.0;6.7 inches;OLED;Camera góc rộng: 50 MP, f/1.4, PDAF, Laser AF, OIS Camera góc siêu rộng: 13 MP, f/2.2, 120˚ , PDAF;Camera góc siêu rộng: 13 MP, f/2.4;Snapdragon 778G 4G (6 nm);8 GB;256 GB;Li-Po 4460 mAh;;90Hz, 1 tỉ màu;HarmonyOS 3.0;;;;
iqoo neo 7 pro;0.0;6.78 inches;AMOLED;50 MPCamera góc siêu rộng 8 MPCamera macro: 2 MP;16 MP;Qualcomm Snapdragon 8+ Gen 1;8 GB;256 GB;5.000 mAh;;Tần số quét màn hình 120 Hz.;Android 13;;;;
realme gt neo 5 se;0.0;6.74 inches;OLED;"Camera góc rộng: 64 MP, f/1.8, 25mm, 1/2"", PDAFCamera góc siêu rộng: 8MP, f/2.2, 16mm, 112˚, 1/4.0"", 1.12µmKính hiển vi: 2MP, f/3.3";"Camera góc rộng: 16MP, f/2.5, 25mm, 1/3.09"", 1.0µm";Snapdragon 7+ Gen 2 (4 nm);8 GB;256 GB;5500 mAh;1240 x 2772 pixels;Tần số quét 144Hz, 1 tỷ màu, 1400 nits;Android 13;;;;
xiaomi mi 10t;0.0;6.66 inches;IPS LCD, 16 triệu màu, Corning Gorilla Glass 5, HDR10+, tần số quét 144Hz, độ sáng 500nits;"64 MP, f/1.9, 26mm (wide), 1/1.73"", 0.8µm, PDAF 13 MP, f/2.4, 123˚ (ultrawide), 1.12µm 5 MP, f/2.4, (macro), AF";"20 MP, f/2.2, 27mm (wide), 1/3.4"", 0.8µm";Qualcomm SM8250 Snapdragon 865 (7 nm+);6 GB;128 GB;Li-Po 5000 mAh, sạc nhanh 33W, Power Delivery 3.0, sạc nhanh không dây 30W, sạc ngược 5W;1080 x 2400 pixels (FullHD+);;Android 10, MIUI 12;;;;
xiaomi poco f4 gt;0.0;6.66 inches;OLED;"64 MP, f/1.9, 26mm (Rộng), 1/1.73"", 0.8µm, PDAF8 MP, f/2.2, 120˚ (Siêu rộng)2 MP, f/2.4, (macro)";20 MP;Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm);8 GB;128 GB;Li-Po 4700 mAh không thể tháo rời;1080 x 2400 pixels (FullHD+);1B màu  120Hz  HDR10 +;Android 12, MIUI 13;;;;
realme narzo 50i prime;0.0;6.5 inches;IPS LCD;Camera góc rộng:  8 MP, f/2.0;Camera góc rộng: 5 MP, f/2.2;Unisoc Tiger T612 (12 nm);3 GB;32 GB;5000 mAh;720 x 1600 pixel;;Android 11;;;;
xiaomi civi 1s;0.0;6.55 inches;OLED;"Camera góc rộng: 64MP, f/1.8, 26mm, 1 / 1.97 "", 0,7µm, PDAF Camera siêu rộng: 8MP, f/2.2, 120˚, 1 / 4.0"", 1,12µm  Camera macro: 2MP, f/2.4";Camera góc rộng: 32MP, 24mm, 0,8µm, AF;Qualcomm Snapdragon ™  778G Plus;8 GB;128 GB;4500 mAh;1080 x 2400 pixels (FullHD+);Kính cường lực Corning Gorilla Glass 5  B màu, Dolby Vision, HDR10 +, 120Hz, 950 nits (đỉnh);Android 12;;;;
google pixel 9 pro fold;0.0;8.0 inches;LTPO OLED;"Góc rộng: 48 MP, f/1.7, 25mm, 1/2.0"", 0.8µm, dual pixel PDAF, OISCamera tele: 10.8 MP, f/3.1, 112mm , 1/3.2"", dual pixel PDAF, OIS, 5x optical zoomGóc siêu rộng: 10.5 MP, f/2.2, 127˚, 1/3.4"", PDAF";"Màn trong: 10 MP, f/2.2, 23mm (góc rộng), 1/3.94"", PDAF Màn Ngoài: 10 MP, f/2.2, 23mm (góc rộng), 1/3.94"", PDAF";Google Tensor G4 (4 nm);16 GB;128 GB;4650 mAh;1080 x 2412 pixels;Màn chính: 8.0 inches, Foldable LTPO OLED, 120Hz, HDR10+, 1,800 nits (HBM), 1080 x 2424 OLED, 422 PPIMàn phụ: 6.3 inches, OLED, 120Hz, HDR, 1600 nits (HBM), 2076 x 2152, 373 PPI;Android 14;;;;
huawei enjoy 60x;0.0;6.95 inches;TFT LCD;"Camera góc rộng: 50 MP, 26mm, 1/1.8"", PDAFCamera đo độ sâu: 2 MP, f/2.4";Camera góc rộng: 8 MP, f/2.0;Snapdragon 680 4G (6 nm);8 GB;128 GB;7000 mAh;1080 x 2376 pixels (FullHD+);Tần số quét 90Hz;HarmonyOS 3.0;;;;
infinix hot 50i;0.0;6.7 inches;LCD;Cảm biến chính: 48 MP, f/1.79;8MP, f/2.0;MediaTek Helio G81;4 GB;128 GB;5,000mAh;1600 x 720 pixels (HD+);Tỷ lệ khung hình 20:9 Tốc độ làm mới 120Hz;Android 14 Go;;;;
oppo reno 11 a;0.0;;;;;;12 GB;256 GB;5000mAh;;;Android 14;;;;
vivo x100 pro;0.0;6.78 inches;LTPO AMOLED;Camera góc rộng: 50 MP, f/1.8,, PDAF, Laser AF, OIS Camera tele kính tiềm vọng: 50 MP, f/2.5, PDAF, OIS, zoom quang 4,3xCamera góc siêu rộng: 50 MP, f/2.0, 119˚;Camera góc rộng: 32 MP, f/2.0;Mediatek Dimensity 9300 (4 nm);12 GB;256 GB;5400 mAh;;Tần số quét 120Hz,1B colors, 3000 nits;Android 14;;;;
realme v30t;0.0;6.5 inches;IPS LCD;Camera chính: 13 MP  Camera macro: 2 MP;5 MP;Dimensity 700;8 GB;128 GB;5.000 mAh;;;Android 12;;;;
samsung galaxy a37;0.0;6.7 inches;Super AMOLED;Camera chính: 50MPGóc siêu rộng 12MPMacro 5MP;12MP;Exynos 1480;6 GB;128 GB;~5000mAh;Full HD+ (1080 x 2340 Pixels);Tần số quét: 120Hz;Android 16;;Xclipse 530;IP68;45 W
google pixel 6 pro;0.0;6.7 inches;;"Camera góc rộng: 50MP, f/1.9, 25mm, Dual Pixel PDAF, Laser AF, OIS  Camera tele: 48MP, f/3.5, 104mm, 1/2"", 0.8µm, PDAF, OIS, zoom quang 4x  Camera siêu rộng: 12 MP, f/2.2, 17mm, 114˚, 1.25µm";Camera siêu rộng: 11.1 MP, f/2.2, 20mm, 1.22µm;Google Tensor (5 nm);12 GB;128 GB;5003 mAh;1440 x 3120 pixels;Kính cường lực Corning Gorilla Glass Victus  Màn hình luôn bật;Android 12;;;;
oppo find x9s;0.0;6.3 inches;LTPO OLED;Camera chính: 200 MPCamera tiềm vọng: 200MPCamera góc siêu rộng: 50 MP;;MediaTek Dimensity 9500 Plus;;;7.000 mAh;;Độ phân giải màn hình: 1.5KTần số quét 120 Hz;ColorOS 16, nền tảng Android 16;;;;
honor 80 gt;0.0;6.66 inches;AMOLED;"Camera góc rộng: 54MP, f/1.9, 1/1.49"", PDAF  Camera góc siêu rộng: 8 MP, f/2.2 Camera macro: 2 MP, f/2.4";Camera góc rộng: 16 MP, f/2.4;Snapdragon 8+ Gen 1 (4 nm);12 GB;256 GB;4800 mAh;1080 x 2400 pixels (FullHD+);1 tỷ màu, Tần số quét 120Hz, HDR10, 1400 nits (peak);Android 12;;;;
