name,Antutu_Score
xiaomi poco f3,1018480
xiaomi 11t,1017918
motorola edge 70 fusion,1017479
htc u24,1016461
oneplus 10r,1012005
vivo v40,1010711
vivo iqoo z9s,1009695
google pixel 6a,1009083
xiaomi mi 11,1009083
vivo t3,1008828
vivo v50,1008194
xiaomi poco f2,1005131
oneplus 8,1003562
xiaomi poco f4,1002919
xiaomi redmi note 14 proplus,1001783
vivo v27,1000176
tecno camon 50,998952
honor 200,998497
samsung galaxy a55,997728
xiaomi 12x,994972
honor magic 8,994655
honor power,992089
honor 300,991834
xiaomi redmi note 15 proplus,986597
honor x9d,985714
oneplus nord 2,980006
samsung galaxy s20,976177
nothing 2a,974146
sony xperia 1 2,973499
xiaomi poco x3 gt,972810
motorola edge 40,969978
oppo find x2,969485
honor x70,969048
oneplus 8,964589
realme 14,963651
infinix gt 30,963424
realme p3,962463
infinix note 60,961273
samsung galaxy xcover 7,961191
xiaomi redmi note 13 proplus,960142
infinix note 30 vip,959217
realme narzo 80,957695
samsung galaxy m56,956785
oppo reno 12,955824
motorola razr 2026,955007
vivo t3,954273
oppo reno 8,954090
sony xperia 5 2,951811
realme p4,945377
samsung galaxy note 20,943653
realme p4x,941780
tecno camon 20 premier,940822
xiaomi mi 10,940334
realme gt neo 3t,939442
xiaomi mi 10t,937521
tecno pova 7,931014
oppo find x3 neo,929774
realme 13,928788
xiaomi poco m8,927631
xiaomi redmi note 15,927175
motorola moto g86 power,926844
vivo v60,922560
realme 16,919158
samsung galaxy note 20,918508
samsung galaxy a37,917489
lg v60 thinq,916793
xiaomi mi 10t,915617
vivo iqoo z10r,911502
motorola edge 50,910374
realme 15,909849
samsung galaxy s20,909679
tecno camon 40,909460
samsung galaxy z fold 2,909414
oneplus 8t,909310
realme 15 india,909042
oppo reno 12,908569
nothing cmf 2,906120
motorola edge 60,903795
realme 14,903779
samsung galaxy s20,901346
motorola edge 60 fusion,899691
motorola edge 60 neo,899423
tecno pova curve,899286
motorola moto g stylus 2026,894500
huawei p40,891785
infinix note 50s,889668
samsung galaxy s20,888046
huawei p40,887876
motorola edge,887771
motorola razr 60,886677
motorola moto g86,885764
nothing 3a,884207
motorola edge 50 neo,883444
nothing cmf 1,878041
vivo iqoo z10x,877437
motorola razr,877010
oppo k13,876701
honor 90,873573
xiaomi redmi note 15,868311
samsung galaxy s21,867566
oppo reno 15 f,865334
tecno pova 7,864548
google pixel fold,859865
vivo v60e,859863
oneplus 7t,859084
xiaomi redmi note 14,858778
sony xperia 10 7,858495
samsung galaxy s20,854946
motorola edge 60 stylus,848851
realme 13,848531
infinix note 50x,847731
oneplus 7,841922
xiaomi redmi note 15,840643
xiaomi poco x7,840051
oneplus turbo 6v,839363
samsung galaxy a36,835170
realme 13 proplus,833876
huawei nova 13,832125
motorola moto g57 power,831969
motorola moto g stylus,831447
huawei nova 13,829838
xiaomi 13,829085
motorola edge,825910
samsung galaxy note 10,824382
oneplus 9r,823551
xiaomi mi 9t,823541
vivo t4x,821707
nothing 1,820210
samsung galaxy s10,818155
oppo reno 11 f,814173
xiaomi poco x5,813720
xiaomi poco x3,813344
samsung galaxy m55,811120
huawei nova 14,810759
realme 12 proplus,809775
huawei nova 11,808054
xiaomi poco m8,807519
oneplus nord ce3,806420
realme 12,806012
huawei nova 9,804520
huawei enjoy 90 promax,804373
motorola edge 20,804228
oppo reno 10,802497
motorola edge 50 fusion,800596
oneplus nord 2t,796771
motorola moto g96,794638
motorola edge 30,791596
samsung galaxy s10,789294
xiaomi mi 9,786843
vivo v29,783664
xiaomi mi 11,782789
sony xperia 5,782567
samsung galaxy note 10,782303
xiaomi 12,781542
oppo reno 10,780824
xiaomi 11 ne,778810
motorola moto g75,777663
oppo reno 14 f,776077
google pixel 4 xl,775747
honor 600,774370
motorola razr,773565
realme gt master,770422
motorola moto g67 power,769465
infinix note edge,768176
samsung galaxy m35,767597
samsung galaxy a35,766876
samsung galaxy a54,766449
samsung galaxy a26,766295
honor 70,765434
samsung galaxy m54,764114
motorola edge,763420
sony xperia 1,762517
samsung galaxy m52,757404
zte nubia neo 2,757199
realme 12,755232
motorola thinkphone 25,755213
huawei p30,752600
honor 50,751019
realme 9 proplus,750481
samsung galaxy a52s,750066
oppo reno 13 f,749828
samsung galaxy a07,749613
samsung galaxy a73,748598
honor x9c,748392
tecno spark 50,741788
samsung galaxy a34,741627
vivo iqoo z9s,741427
honor magic 7,740889
honor 20,739964
huawei nova 5t,739763
realme 11 proplus,739139
xiaomi redmi note 11 proplus,737926
motorola edge 40 neo,737693
huawei mate 20,736755
fairphone 5,736307
samsung galaxy s10,735376
honor x60,735282
honor 20,734635
vivo t3x,733620
honor magic 6,732630
xiaomi poco x6,731730
huawei nova 14,729973
motorola moto g stylus,727482
samsung galaxy s10e,724233
vivo iqoo z9x,718347
realme 11,716342
motorola moto g stylus,716107
xiaomi redmi note 12 proplus,713820
xiaomi redmi note 13,713372
sony xperia 10 6,712424
huawei nova 11,711128
google pixel 4,709965
xiaomi redmi note 12,709193
realme 10 proplus,705933
honor x9b,705584
zte nubia neo 3 gt,701417
huawei nova flip,698341
vivo v40,697953
samsung galaxy xcover 6,697431
huawei enjoy 90,682743
samsung galaxy m53,680628
motorola moto g56,679213
huawei nova 12,676832
oppo find x5,671241
oppo reno 11,668311
motorola edge,668004
motorola edge,665664
infinix zero,655806
xiaomi redmi a7,646113
motorola moto g85,645848
samsung galaxy note 10,640989
huawei p30,639986
motorola moto g54,639509
zte nubia neo 3,639225
honor x60,638831
xiaomi redmi note 14,638078
honor 400 smart,635093
tecno spark go,633777
motorola moto g55,630805
xiaomi redmi 15,629819
motorola moto g35,626381
motorola moto g54 power,624179
samsung galaxy a53,617754
tecno spark 40 proplus,616665
xiaomi poco m8s,615528
samsung galaxy a25,613818
motorola moto g82,612321
realme 16,612195
motorola moto g84,610255
oppo a98,610141
samsung galaxy m33,609611
realme 10,609431
infinix hot 60,608399
infinix hot 60,607557
samsung galaxy m14,607489
xiaomi poco m7,607219
oneplus nord ce4,607085
motorola moto g power,606370
honor x9a,605759
samsung galaxy a71,603944
samsung galaxy m34,603449
xiaomi poco c85,602813
oppo a6,602421
tecno pova 5,600220
tecno camon 40,600062
samsung galaxy a33,599664
oneplus nord,597974
xiaomi poco x4,597281
tecno camon 30,597247
google pixel 5a,597153
sony xperia 10 4,597110
motorola moto g37,596993
oppo a5,596993
motorola moto g47,596952
oneplus nord n300,596652
xiaomi pocophone f1,595284
xiaomi poco m7,595016
honor 200 smart,594735
infinix hot 60 proplus,594633
samsung galaxy note 9,594285
oppo a80,593292
samsung galaxy a23,593086
motorola edge 30 neo,592489
samsung galaxy a17,592392
tecno spark slim,591552
xiaomi redmi note 15,591254
tecno camon 30,591209
xiaomi poco m6,590569
motorola moto g77,590471
realme narzo 90,588662
motorola moto g power,587946
samsung galaxy s9,587766
